Meal_Type,Food_Item,Calories,Carbs,Proteins,Fats,Goal,Alternative
Breakfast,Oatmeal with fruits,250,45,6,4,Lose,Multigrain toast with avocado
Breakfast,Greek yogurt with berries,200,25,15,5,Lose,Boiled eggs with spinach
Breakfast,Smoothie with banana and spinach,220,30,8,4,Lose,Vegetable upma
Breakfast,Smoothie bowl,300,35,8,10,Maintain,Egg sandwich with whole wheat bread
Breakfast,Muesli with milk and nuts,350,40,12,15,Maintain,Poha with peanuts
Breakfast,Boiled eggs and toast,320,30,18,12,Maintain,Besan chilla
Breakfast,Peanut butter toast & banana,450,50,12,20,Gain,Paneer paratha with curd
Breakfast,Cheese omelet with toast,500,40,20,25,Gain,Banana milkshake and nuts
Breakfast,Protein pancakes with syrup,550,60,20,18,Gain,Masala dosa with chutney
Lunch,Grilled chicken salad,400,20,35,15,Lose,Quinoa salad with chickpeas
Lunch,Vegetable stir fry with tofu,380,30,20,10,Lose,Brown rice and dal
Lunch,Soup and whole grain bread,350,25,15,8,Lose,Stuffed roti with vegetables
Lunch,Turkey sandwich with salad,500,45,30,20,Maintain,Rajma with rice
Lunch,Chicken curry with roti,550,40,35,22,Maintain,Pulao with raita
Lunch,Grilled fish with veggies,520,35,32,18,Maintain,Chole with chapati
Lunch,Chicken rice bowl,650,60,40,25,Gain,Butter chicken with naan
Lunch,Paneer butter masala with paratha,700,50,25,30,Gain,Egg curry with rice
Lunch,Beef biryani,800,70,35,35,Gain,Fried rice with manchurian
Dinner,Steamed veggies with tofu,350,30,20,10,Lose,Grilled fish with sautéed greens
Dinner,Lentil soup with salad,300,25,18,8,Lose,Vegetable stew with brown rice
Dinner,Zucchini noodles with tomato sauce,280,20,12,6,Lose,Sprouts and chapati
Dinner,Grilled salmon with quinoa,500,40,35,20,Maintain,Mixed dal with jeera rice
Dinner,Vegetable curry with chapati,480,35,20,18,Maintain,Kadhi with rice
Dinner,Chicken stew with rice,510,45,28,22,Maintain,Paneer tikka with roti
Dinner,Pasta with meatballs,700,65,35,30,Gain,Shahi paneer with naan
Dinner,Biryani with chicken,750,70,40,32,Gain,Egg fried rice with salad
Dinner,Rogan josh with rice,800,75,38,35,Gain,Chicken korma with paratha
Breakfast,Semolina upma,313,44,10,35,Maintain,Fruit salad with nuts
Lunch,Fried rice with chicken,460,58,12,11,Gain,Vegetable noodles
Breakfast,Semolina upma,465,54,40,35,Maintain,Methi paratha
Lunch,Mixed vegetable curry with roti,718,21,17,16,Maintain,Rajma chawal
